"champ";"statut";"annee";"periode";"date du resultat";"ipe";nbrapss;lib;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";14;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:56";="590048476";572;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:56";="590048476";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:56";="590048476";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:56";="590048476";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";28;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";374;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:49";="600100713";100;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:49";="600100713";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:49";="600100713";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:49";="600100713";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:59";="600100721";25;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:59";="600100721";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:59";="600100721";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:59";="600100721";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:45";="800000028";66;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:45";="800000028";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:45";="800000028";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:45";="800000028";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:37";="800000036";149;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:37";="800000036";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000036;22DEC22;9:39:05
